B,C,D,A
0.0,0.0,0.0,0.0
0.24835707650561634,-0.06913215058559233,0.32384426905034625,0.7615149282040127
0.641149501104912,0.04013789237854741,1.1825986303883966,0.840626321498862
0.8224535648945607,0.8082823581040404,0.9907699327107364,0.27151091611418865
0.8316620076111043,0.18629214444917386,0.389965895285574,-0.11823721495197317
-0.10200812756212785,0.9342285590560248,0.44529710549962237,-0.7770941796388297
0.049944164212436526,0.36604248314064475,0.21933586359403306,-1.1786306008900262
-1.1851293444471505,0.31504211610926913,-0.4039399391847823,-0.5193293513611797
-1.4268604327166363,-0.9049250807887974,-1.4913207451832884,0.614541481437761
-0.37123168684873986,-2.2132988591245377,-1.6250083372316877,-0.24169693612285453
-0.3116647635051499,-2.6047997268936025,-1.9360833762672196,-0.046587543739150944
0.14496439690329455,-1.726527506345296,-1.4688059777585718,-0.17850437403813496
-0.7950858562722449,-1.2798670904818963,-0.9956314546124011,0.42145848868657687
0.03192442197014528,-2.285509016988301,-1.0714055730878391,0.060333953003787855
-0.2710391845678619,-1.0399277281964303,-0.10180404502861173,0.501840431360372
-0.18075992726373877,-0.9953941724977551,-0.11228205896967464,0.7888768223774028
0.2830583826210341,-0.8346739336415525,-0.76514466419581,-0.12477721861389379
0.47627616587860444,0.40376236019730727,-0.2686451532108256,0.4269001177776758
0.8081038062731203,0.30071847151870573,0.40053164353059517,1.02515835389959
1.2870759473285684,1.6092359558367229,-0.4230705209080188,1.026046264527366
1.6366061141381196,1.8456986561319546,0.8216988335857947,-0.3781566985840268
0.5696023656968944,2.5952603707455415,2.5412512138327306,-0.48602912828723976
-0.451308684658249,1.761959593212572,2.4381336797081907,-0.12724192214250163
-0.6374588503924701,0.9527625247576221,1.1503720347723354,0.40797734198094365
-0.40711998358940327,-0.10214063875828691,-0.015797936016653635,-0.4869710688774931
-0.4857887067233484,-0.2564527340365501,-0.33261802016028436,-0.4094762080140693
-1.3267395614704716,-0.7528252671832883,-0.7595590357382341,-0.6468243594192511
-1.3941460802506884,-1.3110613810790812,-0.5740341200140527,-0.30080570923563116
-0.9483570201775359,-1.9391766507310833,-2.419122943858503,-0.19374036326598715
-0.693891397748798,-0.6905705503380357,-2.306339864847692,0.034529453207213956
-0.4060671609361294,-1.5537944672116257,-1.3675056298501431,0.39668418826771545
0.46922302757401824,-1.7118241364732485,-0.4439599511909398,-0.4629150184355112
0.2046303486961371,0.4435117530802548,-0.3862657112206934,-0.5608978758626927
-0.27611440892865136,0.17807350374696296,-0.8433868633085727,-0.3022572381146019
-0.9386262927119248,0.12274879042284746,-1.1866357622449664,0.5936128596400085
-0.4799121340832665,-0.8382825180186693,-1.0561238828316848,-0.2592644424329725
-0.3816288670942732,-0.23332784093660075,-1.8213456542462378,-0.06324173619363137
-0.14962931208725722,-0.05438836234872385,-2.0165858416622022,-0.698173348258317
-0.3873454830505591,-0.003844130462447054,-1.2044085294941889,-0.24567990420650235
-0.7689635739847827,-0.19605601613741375,-0.8859852674876201,-0.5045836515370853
0.06784218995184055,-0.49588800841438063,-1.7424137682817227,0.025526613394663722
-0.4262142304268254,0.15028324878407007,-0.4118767195038592,-0.395025191139057
-0.09006062654517993,-0.04441097160276916,-0.17706733604653085,0.7113813766435395
0.3923746673862884,-0.4755631663765503,-0.623046117676824,0.018923683503404565
0.2120128925274446,0.19913782149142253,0.07841746296794588,0.42494583462005464
0.47366534915146397,1.0158600454954676,0.0843323751837452,1.6150520840668423
1.8890745506268554,0.5598695284103105,-0.10591454459913785,1.2102674580616979
1.989927304162546,2.2041816045937166,1.6843297260287742,0.6897460185085823
1.3223563382701908,2.1570271937433345,2.3792822029137906,0.8420470082668856
1.574098281640725,1.7292319975061592,2.572044855290018,0.6978868948245497
1.0608397667435083,2.3736803767890393,2.8316098977095905,-0.15275301202058172
0.6931951306037811,2.5532723026523474,3.0891633736081996,0.4352492188051025
0.07528176942780518,1.6176069661168717,2.6655717622522745,0.5180425067391659
0.7171269102010398,2.9571553405397277,1.9450137282401925,0.878608324133799
1.6101636871742642,2.6736903581375673,1.5830751427847745,0.906649604726913
1.305005288817303,2.773935861251947,1.9952942614957245,0.584926832529309
2.4082739226505834,1.7747331515091365,2.5843108831385337,-0.45540183607724044
0.8446769518338408,3.5359343275096315,3.5093456775513188,-0.8121134906109972
-0.5005364760184774,3.1371010324401896,2.416165652139296,-0.37903879957561093
-0.5807670053196683,1.156031264846423,2.1212422551314583,0.08953623141363906
-1.2894025113896932,0.322232312036833,0.4772385164389461,0.4799384062462954
-0.7859511510531298,-0.8955508426231042,-0.4926852597581583,0.720840640832838
-0.4950463814934955,-1.3333420443368407,-1.1618447322778769,0.10583976821284685
